,Name,Type,Overall Rating,Zip Code,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
0,Table Talk Diner,American,54.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
1,River Station Restaurant,American,50.6,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
2,Texas Roadhouse Restaurant,American,24.0,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
3,Lolita's Pizza,Italian,9.6,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
4,A Touch of Naples Pizza & Pasta,Italian,8.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
5,The Artist's Palate,American,82.8,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
6,Cosimo's Trattoria & Bar,Italian,51.8,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
7,Aloy's Italian Restaurant,Italian,34.2,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
8,Brasserie 292,European,74.2,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
9,Nic L Inn Wine Cellar on the Hudson,Italian,65.2,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
10,The Palace Diner,American,35.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
11,Tavern 23,Bar,8.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
12,Alex's Restaurant,American,16.2,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
13,Ice House on the Hudson,American,75.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
14,Mill House Brewing Company,American,142.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
15,Lola's Catering and Cafe,American,43.8,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
16,Schatzi's Pub and Bier Garden,German,27.2,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
17,Sugar and Spice Cafe,Cafe,10.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
18,Amici's,Italian,42.6,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
19,El Azteca Mexican Deli,Mexican,11.2,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
20,Crew,American,63.2,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
21,Shadows on the Hudson,American,181.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
22,Essie's Restaurant,American,16.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
23,Emiliano's Pizza,Pizza,10.8,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
24,Bonefish Grill - Poughkeepsie,American,55.4,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
25,"Blue Collar Brewery, Inc.",American,14.8,12601,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
26,Paula's Public House,American,14.2,12603,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
27,J. Dominick's Trattoria,Italian,29.2,12603,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
28,P.C.'s Paddock Restaurant,American,55.6,12603,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
29,Billy Bob's BBQ,American,22.6,12603,295685,11.7,72.2,9.6,0.1,3.7,0.0,75585,36704,144934,77.7,16.6,5.6,0.2,6.7
30,The Clam Bar,American,60.2,13212,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
31,Mother's Cupboard Fish Fry,American,31.8,13206,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
32,Joey's Classic Italian Dining,Italian,118.8,13206,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
33,Pronto Joey's,Italian,37.8,13206,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
34,Rise N Shine Diner,American,42.6,13206,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
35,Tully's Good Times Erie Blvd,American,46.6,13224,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
36,Delmonico's Italian Steak,Italian,86.6,13224,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
37,The Fish Friar,Seafood,20.4,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
38,Mission Restaurant,Mexican,54.0,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
39,Kitty Hoynes Irish Pub & Restaurant,Bar,135.4,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
40,317 @ Montgomery,American,29.8,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
41,Pastabilities,Italian,246.8,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
42,Apizza Regionale,Italian,48.6,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
43,Blue Tusk Pub & Wine Bar,American,40.2,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
44,Dinosaur Bar-B-Que,American,538.8,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
45,Modern Malt,American,46.2,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
46,Lemon Grass Restaurant,Asian,73.6,13202,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
47,Laci's Tapas Bar,Contemporary,38.4,13203,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
48,Texas de Brazil,Steakhouse,52.8,13204,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
49,Eva's European Sweets,Polish,42.8,13204,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
50,The Cheesecake Factory,American,67.2,13204,467669,4.7,77.1,10.7,0.5,3.9,0.0,57271,31436,223207,78.9,16.3,4.7,0.1,6.4
